x (m), Deflection y (m), Slope (rad), Moment (Nm), Shear (N)
3.460e+00,2.300e-03,1.133e-03,1.540e+03,-1.000e+03
3.470e+00,2.311e-03,1.135e-03,1.530e+03,-1.000e+03
3.480e+00,2.323e-03,1.136e-03,1.520e+03,-1.000e+03
3.490e+00,2.334e-03,1.138e-03,1.510e+03,-1.000e+03
3.500e+00,2.345e-03,1.139e-03,1.500e+03,-1.000e+03
3.510e+00,2.357e-03,1.141e-03,1.490e+03,-1.000e+03
3.520e+00,2.368e-03,1.142e-03,1.480e+03,-1.000e+03
3.530e+00,2.380e-03,1.144e-03,1.470e+03,-1.000e+03
3.540e+00,2.391e-03,1.145e-03,1.460e+03,-1.000e+03
3.550e+00,2.402e-03,1.147e-03,1.450e+03,-1.000e+03
3.560e+00,2.414e-03,1.148e-03,1.440e+03,-1.000e+03
3.570e+00,2.425e-03,1.150e-03,1.430e+03,-1.000e+03
3.580e+00,2.437e-03,1.151e-03,1.420e+03,-1.000e+03
3.590e+00,2.448e-03,1.152e-03,1.410e+03,-1.000e+03
3.600e+00,2.460e-03,1.154e-03,1.400e+03,-1.000e+03
3.610e+00,2.471e-03,1.155e-03,1.390e+03,-1.000e+03
3.620e+00,2.483e-03,1.157e-03,1.380e+03,-1.000e+03
3.630e+00,2.495e-03,1.158e-03,1.370e+03,-1.000e+03
3.640e+00,2.506e-03,1.159e-03,1.360e+03,-1.000e+03
3.650e+00,2.518e-03,1.161e-03,1.350e+03,-1.000e+03
3.660e+00,2.529e-03,1.162e-03,1.340e+03,-1.000e+03
3.670e+00,2.541e-03,1.163e-03,1.330e+03,-1.000e+03
3.680e+00,2.553e-03,1.165e-03,1.320e+03,-1.000e+03
3.690e+00,2.564e-03,1.166e-03,1.310e+03,-1.000e+03
3.700e+00,2.576e-03,1.167e-03,1.300e+03,-1.000e+03
3.710e+00,2.588e-03,1.169e-03,1.290e+03,-1.000e+03
3.720e+00,2.599e-03,1.170e-03,1.280e+03,-1.000e+03
3.730e+00,2.611e-03,1.171e-03,1.270e+03,-1.000e+03
3.740e+00,2.623e-03,1.172e-03,1.260e+03,-1.000e+03
3.750e+00,2.634e-03,1.174e-03,1.250e+03,-1.000e+03
3.760e+00,2.646e-03,1.175e-03,1.240e+03,-1.000e+03
3.770e+00,2.658e-03,1.176e-03,1.230e+03,-1.000e+03
